Sequence_ID	Host	Tissue
16_10_Lung_0_0	16_10	Lung
16_10_Lung_0_1	16_10	Lung
16_12_Blood_1_1	16_12	Lung
16_12_Blood_1_2	16_12	Lung
16_10_Lung_1_0	16_10	Lung
16_10_Lung_1_1	16_10	Lung
16_10_Lung_1_2	16_10	Lung
16_10_Lung_1_3	16_10	Lung
16_10_Lung_1_4	16_10	Lung
16_10_Lung_1_5	16_10	Lung
16_10_Lung_1_6	16_10	Lung
16_10_Lung_1_7	16_10	Lung
16_10_Lung_1_8	16_10	Lung
16_10_Lung_1_9	16_10	Lung
16_10_Lung_1_10	16_10	Lung
16_10_Lung_1_11	16_10	Lung
16_10_Lung_1_12	16_10	Lung
16_10_Lung_1_13	16_10	Lung
16_10_Lung_1_14	16_10	Lung
16_10_Lung_1_15	16_10	Lung
16_10_Lung_1_16	16_10	Lung
16_10_Lung_1_17	16_10	Lung
16_10_Lung_1_18	16_10	Lung
16_10_Lung_1_19	16_10	Lung
16_10_Lung_1_20	16_10	Lung
16_10_Lung_1_21	16_10	Lung
16_10_Lung_1_22	16_10	Lung
16_10_Lung_1_23	16_10	Lung
16_10_Lung_1_24	16_10	Lung
16_10_Lung_1_25	16_10	Lung
16_10_Lung_1_26	16_10	Lung
16_10_Lung_1_27	16_10	Lung
16_10_Lung_1_28	16_10	Lung
16_10_Lung_1_29	16_10	Lung
16_10_Lung_1_30	16_10	Lung
16_10_Lung_1_31	16_10	Lung
16_10_Lung_1_32	16_10	Lung
16_10_Lung_1_33	16_10	Lung
16_10_Lung_1_34	16_10	Lung
16_10_Lung_1_35	16_10	Lung
16_10_Lung_1_36	16_10	Lung
16_10_Lung_1_37	16_10	Lung
16_10_Lung_1_38	16_10	Lung
16_10_Lung_1_39	16_10	Lung
16_10_Lung_1_40	16_10	Lung
16_10_Lung_1_41	16_10	Lung
16_10_Lung_1_42	16_10	Lung
16_10_Lung_1_43	16_10	Lung
16_10_Lung_1_44	16_10	Lung
16_10_Lung_1_45	16_10	Lung
16_10_Lung_1_46	16_10	Lung
16_10_Lung_1_47	16_10	Lung
16_10_Lung_1_48	16_10	Lung
16_10_Lung_1_49	16_10	Lung
16_10_Lung_1_50	16_10	Lung
16_10_Lung_1_51	16_10	Lung
16_10_Lung_1_52	16_10	Lung
16_10_Lung_1_53	16_10	Lung
16_10_Lung_1_54	16_10	Lung
16_10_Lung_1_55	16_10	Lung
16_10_Lung_1_56	16_10	Lung
16_10_Blood_1_0	16_10	Blood
16_10_Blood_1_1	16_10	Blood
16_10_Blood_1_2	16_10	Blood
16_10_Blood_1_3	16_10	Blood
16_10_Blood_1_4	16_10	Blood
16_10_Blood_2_0	16_10	Blood
16_10_Blood_2_1	16_10	Blood
16_10_Blood_2_2	16_10	Blood
16_10_Blood_2_3	16_10	Blood
16_10_Blood_2_4	16_10	Blood
16_10_Blood_2_5	16_10	Blood
16_10_Blood_2_6	16_10	Blood
16_10_Blood_2_7	16_10	Blood
16_10_Blood_2_8	16_10	Blood
16_10_Blood_2_9	16_10	Blood
16_10_Blood_2_10	16_10	Blood
16_10_Blood_2_11	16_10	Blood
16_10_Blood_2_12	16_10	Blood
16_10_Blood_2_13	16_10	Blood
16_10_Blood_2_14	16_10	Blood
16_10_Blood_2_15	16_10	Blood
16_10_Blood_2_16	16_10	Blood
16_10_Blood_2_17	16_10	Blood
16_10_Blood_2_18	16_10	Blood
16_10_Blood_2_19	16_10	Blood
16_10_Blood_2_20	16_10	Blood
16_10_Blood_2_21	16_10	Blood
16_10_Blood_2_22	16_10	Blood
16_10_Blood_2_23	16_10	Blood
16_10_Blood_2_24	16_10	Blood
16_10_Blood_2_25	16_10	Blood
16_10_Blood_2_26	16_10	Blood
16_10_Blood_2_27	16_10	Blood
16_10_Blood_2_28	16_10	Blood
16_10_Blood_2_29	16_10	Blood
16_10_Blood_2_30	16_10	Blood
16_10_Blood_2_31	16_10	Blood
16_10_Blood_2_32	16_10	Blood
16_10_Blood_2_33	16_10	Blood
16_10_Blood_2_34	16_10	Blood
16_10_Blood_2_35	16_10	Blood
16_10_Blood_2_36	16_10	Blood
16_10_Blood_2_37	16_10	Blood
16_10_Blood_2_38	16_10	Blood
16_10_Blood_2_39	16_10	Blood
16_10_Blood_2_40	16_10	Blood
16_10_Blood_2_41	16_10	Blood
16_10_Blood_2_42	16_10	Blood
16_10_Blood_2_43	16_10	Blood
16_10_Blood_2_44	16_10	Blood
16_10_Blood_2_45	16_10	Blood
16_10_Blood_2_46	16_10	Blood
16_10_Blood_2_47	16_10	Blood
16_10_Blood_2_48	16_10	Blood
16_10_Blood_2_49	16_10	Blood
16_10_Blood_2_50	16_10	Blood
16_10_Blood_2_51	16_10	Blood
16_10_Blood_2_52	16_10	Blood
16_10_Blood_2_53	16_10	Blood
16_10_Blood_2_54	16_10	Blood
16_10_Blood_2_55	16_10	Blood
16_10_Blood_2_56	16_10	Blood
16_10_Blood_2_57	16_10	Blood
16_10_Blood_2_58	16_10	Blood
16_10_Blood_2_59	16_10	Blood
16_10_Blood_2_60	16_10	Blood
16_10_Blood_2_61	16_10	Blood
16_10_Blood_2_62	16_10	Blood
16_10_Blood_2_63	16_10	Blood
16_10_Blood_2_64	16_10	Blood
16_10_Blood_2_65	16_10	Blood
16_10_Blood_2_66	16_10	Blood
16_10_Blood_2_67	16_10	Blood
16_10_Blood_2_68	16_10	Blood
16_10_Blood_2_69	16_10	Blood
16_10_Blood_2_70	16_10	Blood
16_10_Blood_2_71	16_10	Blood
16_10_Blood_2_72	16_10	Blood
16_10_Blood_2_73	16_10	Blood
16_10_Blood_2_74	16_10	Blood
16_10_Blood_2_75	16_10	Blood
16_10_Blood_2_76	16_10	Blood
16_10_Blood_2_77	16_10	Blood
16_10_Blood_2_78	16_10	Blood
16_10_Blood_2_79	16_10	Blood
16_10_Blood_2_80	16_10	Blood
16_10_Blood_2_81	16_10	Blood
16_10_Blood_2_82	16_10	Blood
16_10_Blood_2_83	16_10	Blood
16_10_Blood_2_84	16_10	Blood
16_10_Blood_2_85	16_10	Blood
16_10_Blood_2_86	16_10	Blood
16_10_Blood_2_87	16_10	Blood
16_10_Blood_2_88	16_10	Blood
16_10_Blood_2_89	16_10	Blood
16_10_Blood_2_90	16_10	Blood
16_10_Blood_2_91	16_10	Blood
16_10_Blood_2_92	16_10	Blood
16_10_Blood_2_93	16_10	Blood
16_10_Blood_2_94	16_10	Blood
16_10_Blood_2_95	16_10	Blood
16_10_Blood_2_96	16_10	Blood
16_10_Blood_2_97	16_10	Blood
