Source	Target	Type
16_5_Blood_1_1	16_2_Blood_0_0	Transmission
16_2_Blood_0_0	16_2_Blood_1_0	primary_parent
16_2_Blood_0_0	16_2_Blood_1_0	recombination_parent_2
16_2_Blood_0_0	16_2_Blood_1_1	primary_parent
16_2_Blood_0_0	16_2_Blood_1_1	recombination_parent_2
16_2_Blood_0_0	16_2_Blood_1_2	primary_parent
16_2_Blood_0_0	16_2_Blood_1_2	recombination_parent_2
16_2_Blood_0_0	16_2_Blood_1_3	primary_parent
16_2_Blood_0_0	16_2_Blood_1_3	recombination_parent_2
16_2_Blood_0_0	16_2_Blood_1_4	primary_parent
16_2_Blood_0_0	16_2_Blood_1_4	recombination_parent_1
16_2_Blood_0_0	16_2_Blood_1_4	recombination_parent_2
16_2_Blood_0_0	16_2_Blood_1_4	recombination_parent_3
16_2_Blood_0_0	16_2_Blood_1_5	primary_parent
16_2_Blood_0_0	16_2_Blood_1_5	recombination_parent_2
16_2_Blood_0_0	16_2_Blood_1_6	primary_parent
16_2_Blood_0_0	16_2_Blood_1_6	recombination_parent_1
16_2_Blood_0_0	16_2_Blood_1_6	recombination_parent_2
16_2_Blood_0_0	16_2_Blood_1_6	recombination_parent_3
16_2_Blood_0_0	16_2_Blood_1_7	primary_parent
16_2_Blood_0_0	16_2_Blood_1_7	recombination_parent_2
16_2_Blood_0_0	16_2_Blood_1_8	primary_parent
16_2_Blood_0_0	16_2_Blood_1_8	recombination_parent_2
16_2_Blood_0_0	16_2_Blood_1_9	primary_parent
16_2_Blood_0_0	16_2_Blood_1_9	recombination_parent_1
16_2_Blood_0_0	16_2_Blood_1_9	recombination_parent_2
16_2_Blood_0_0	16_2_Blood_1_10	primary_parent
16_2_Blood_0_0	16_2_Blood_1_10	recombination_parent_2
16_2_Blood_0_0	16_2_Blood_1_10	recombination_parent_3
16_2_Blood_0_0	16_2_Blood_1_11	primary_parent
16_2_Blood_0_0	16_2_Blood_1_11	recombination_parent_2
16_2_Blood_1_0	16_2_Lung_1_0	Transmission
16_2_Blood_1_5	16_2_Lung_1_1	Transmission
16_2_Lung_1_0	16_2_Blood_1_12	Transmission
16_2_Lung_1_1	16_2_Blood_1_13	Transmission
16_2_Blood_1_1	16_12_Lung_0_0	Transmission
