Source	Target	Type
0_3_Blood_1_0	0_42_Lung_0_0	Transmission
0_42_Lung_0_0	0_42_Lung_1_0	primary_parent
0_42_Lung_0_0	0_42_Lung_1_0	recombination_parent_1
0_42_Lung_0_0	0_42_Lung_1_0	recombination_parent_2
0_42_Lung_0_0	0_42_Lung_1_1	primary_parent
0_42_Lung_0_0	0_42_Lung_1_1	recombination_parent_1
0_42_Lung_0_0	0_42_Lung_1_2	primary_parent
0_42_Lung_0_0	0_42_Lung_1_2	recombination_parent_1
0_42_Lung_0_0	0_42_Lung_1_2	recombination_parent_2
0_42_Lung_0_0	0_42_Lung_1_3	primary_parent
0_42_Lung_0_0	0_42_Lung_1_3	recombination_parent_1
0_42_Lung_0_0	0_42_Lung_1_3	recombination_parent_2
0_42_Lung_0_0	0_42_Lung_1_4	primary_parent
0_42_Lung_0_0	0_42_Lung_1_4	recombination_parent_1
0_42_Lung_0_0	0_42_Lung_1_4	recombination_parent_2
