Source	Target	Type
16_6_Blood_2_3	16_11_Blood_0_0	Transmission
16_11_Blood_0_0	16_11_Blood_1_0	primary_parent
16_11_Blood_0_0	16_11_Blood_1_0	recombination_parent_1
16_11_Blood_0_0	16_11_Blood_1_0	recombination_parent_2
16_11_Blood_0_0	16_11_Blood_1_1	primary_parent
16_11_Blood_0_0	16_11_Blood_1_1	recombination_parent_1
16_11_Blood_0_0	16_11_Blood_1_2	primary_parent
16_11_Blood_0_0	16_11_Blood_1_2	recombination_parent_1
16_11_Blood_0_0	16_11_Blood_1_2	recombination_parent_2
16_11_Blood_1_1	16_11_Lung_1_0	Transmission
16_11_Blood_1_2	16_11_Lung_1_1	Transmission
16_11_Lung_1_0	16_11_Blood_1_3	Transmission
16_11_Blood_1_3	16_11_Blood_2_0	primary_parent
16_11_Blood_1_3	16_11_Blood_2_0	recombination_parent_1
16_11_Blood_1_3	16_11_Blood_2_0	recombination_parent_2
16_11_Blood_1_3	16_11_Blood_2_1	primary_parent
16_11_Blood_1_3	16_11_Blood_2_1	recombination_parent_1
16_11_Blood_1_3	16_11_Blood_2_1	recombination_parent_2
16_11_Blood_1_3	16_11_Blood_2_2	primary_parent
16_11_Blood_1_3	16_11_Blood_2_2	recombination_parent_1
16_11_Blood_1_3	16_11_Blood_2_2	recombination_parent_2
16_11_Blood_1_3	16_11_Blood_2_3	primary_parent
16_11_Blood_1_3	16_11_Blood_2_3	recombination_parent_1
16_11_Blood_1_3	16_11_Blood_2_3	recombination_parent_2
16_11_Blood_1_3	16_11_Blood_2_4	primary_parent
16_11_Blood_1_3	16_11_Blood_2_4	recombination_parent_1
16_11_Blood_1_3	16_11_Blood_2_4	recombination_parent_2
16_11_Blood_1_3	16_11_Blood_2_5	primary_parent
16_11_Blood_1_3	16_11_Blood_2_5	recombination_parent_1
16_11_Blood_1_3	16_11_Blood_2_6	primary_parent
16_11_Blood_1_3	16_11_Blood_2_6	recombination_parent_1
16_11_Blood_1_3	16_11_Blood_2_6	recombination_parent_2
16_11_Blood_1_3	16_11_Blood_2_7	primary_parent
16_11_Blood_1_3	16_11_Blood_2_7	recombination_parent_1
16_11_Blood_1_3	16_11_Blood_2_7	recombination_parent_2
16_11_Blood_1_3	16_11_Blood_2_8	primary_parent
16_11_Blood_1_3	16_11_Blood_2_8	recombination_parent_1
16_11_Blood_1_3	16_11_Blood_2_9	primary_parent
16_11_Blood_1_3	16_11_Blood_2_9	recombination_parent_1
16_11_Blood_1_3	16_11_Blood_2_9	recombination_parent_2
16_11_Blood_1_3	16_11_Blood_2_10	primary_parent
16_11_Blood_1_3	16_11_Blood_2_10	recombination_parent_1
16_11_Blood_1_3	16_11_Blood_2_10	recombination_parent_2
16_11_Blood_1_3	16_11_Blood_2_11	primary_parent
16_11_Blood_1_3	16_11_Blood_2_11	recombination_parent_1
16_11_Blood_1_3	16_11_Blood_2_11	recombination_parent_2
16_11_Blood_1_3	16_11_Blood_2_12	primary_parent
16_11_Blood_1_3	16_11_Blood_2_12	recombination_parent_1
16_11_Blood_1_3	16_11_Blood_2_12	recombination_parent_2
16_11_Blood_1_3	16_11_Blood_2_13	primary_parent
16_11_Blood_1_3	16_11_Blood_2_13	recombination_parent_1
16_11_Blood_1_3	16_11_Blood_2_13	recombination_parent_2
16_11_Lung_1_1	16_11_Lung_2_0	primary_parent
16_11_Lung_1_1	16_11_Lung_2_0	recombination_parent_1
16_11_Lung_1_1	16_11_Lung_2_0	recombination_parent_2
16_11_Lung_1_1	16_11_Lung_2_1	primary_parent
16_11_Lung_1_1	16_11_Lung_2_1	recombination_parent_1
16_11_Lung_1_1	16_11_Lung_2_1	recombination_parent_2
16_11_Lung_1_1	16_11_Lung_2_2	primary_parent
16_11_Lung_1_1	16_11_Lung_2_2	recombination_parent_1
16_11_Lung_1_1	16_11_Lung_2_2	recombination_parent_2
16_11_Lung_1_1	16_11_Lung_2_2	recombination_parent_3
16_11_Lung_1_1	16_11_Lung_2_3	primary_parent
16_11_Lung_1_1	16_11_Lung_2_3	recombination_parent_1
16_11_Lung_1_1	16_11_Lung_2_4	primary_parent
16_11_Lung_1_1	16_11_Lung_2_4	recombination_parent_1
16_11_Lung_1_1	16_11_Lung_2_4	recombination_parent_2
16_11_Lung_1_1	16_11_Lung_2_5	primary_parent
16_11_Lung_1_1	16_11_Lung_2_5	recombination_parent_1
16_11_Lung_1_1	16_11_Lung_2_5	recombination_parent_2
16_11_Lung_1_1	16_11_Lung_2_6	primary_parent
16_11_Lung_1_1	16_11_Lung_2_6	recombination_parent_1
16_11_Lung_1_1	16_11_Lung_2_6	recombination_parent_2
16_11_Lung_1_1	16_11_Lung_2_7	primary_parent
16_11_Lung_1_1	16_11_Lung_2_7	recombination_parent_1
16_11_Lung_1_1	16_11_Lung_2_7	recombination_parent_2
16_11_Lung_1_1	16_11_Lung_2_8	primary_parent
16_11_Lung_1_1	16_11_Lung_2_8	recombination_parent_1
16_11_Lung_1_1	16_11_Lung_2_8	recombination_parent_2
16_11_Lung_1_1	16_11_Lung_2_9	primary_parent
16_11_Lung_1_1	16_11_Lung_2_9	recombination_parent_1
16_11_Blood_2_4	16_11_Lung_2_10	Transmission
16_11_Blood_2_6	16_11_Lung_2_11	Transmission
16_11_Blood_2_11	16_11_Lung_2_12	Transmission
16_11_Lung_2_4	16_11_Blood_2_14	Transmission
16_11_Lung_2_6	16_11_Blood_2_15	Transmission
16_11_Lung_2_8	16_11_Blood_2_16	Transmission
16_11_Lung_2_10	16_11_Blood_2_17	Transmission
16_11_Lung_2_11	16_11_Blood_2_18	Transmission
16_11_Lung_2_12	16_11_Blood_2_19	Transmission
