Source	Target	Type
16_0_Blood_1_0	16_8_Lung_0_0	Transmission
16_8_Lung_0_0	16_8_Lung_1_0	primary_parent
16_8_Lung_0_0	16_8_Lung_1_0	recombination_parent_2
16_8_Lung_0_0	16_8_Lung_1_1	primary_parent
16_8_Lung_0_0	16_8_Lung_1_1	recombination_parent_1
16_8_Lung_0_0	16_8_Lung_1_1	recombination_parent_2
16_8_Lung_0_0	16_8_Lung_1_1	recombination_parent_3
16_8_Lung_0_0	16_8_Lung_1_2	primary_parent
16_8_Lung_0_0	16_8_Lung_1_2	recombination_parent_2
16_8_Lung_0_0	16_8_Lung_1_3	primary_parent
16_8_Lung_0_0	16_8_Lung_1_3	recombination_parent_2
16_8_Lung_0_0	16_8_Lung_1_4	primary_parent
16_8_Lung_0_0	16_8_Lung_1_4	recombination_parent_1
16_8_Lung_0_0	16_8_Lung_1_4	recombination_parent_2
16_8_Lung_0_0	16_8_Lung_1_4	recombination_parent_3
16_8_Lung_0_0	16_8_Lung_1_5	primary_parent
16_8_Lung_0_0	16_8_Lung_1_5	recombination_parent_1
16_8_Lung_0_0	16_8_Lung_1_5	recombination_parent_2
16_8_Lung_0_0	16_8_Lung_1_5	recombination_parent_3
16_8_Lung_0_0	16_8_Lung_1_6	primary_parent
16_8_Lung_0_0	16_8_Lung_1_6	recombination_parent_1
16_8_Lung_0_0	16_8_Lung_1_6	recombination_parent_2
16_8_Lung_0_0	16_8_Lung_1_7	primary_parent
16_8_Lung_0_0	16_8_Lung_1_7	recombination_parent_1
16_8_Lung_0_0	16_8_Lung_1_7	recombination_parent_2
16_8_Lung_0_0	16_8_Lung_1_7	recombination_parent_3
16_8_Lung_0_0	16_8_Lung_1_8	primary_parent
16_8_Lung_0_0	16_8_Lung_1_8	recombination_parent_2
16_8_Lung_0_0	16_8_Lung_1_9	primary_parent
16_8_Lung_0_0	16_8_Lung_1_9	recombination_parent_2
16_8_Lung_0_0	16_8_Lung_1_10	primary_parent
16_8_Lung_0_0	16_8_Lung_1_10	recombination_parent_2
16_8_Lung_0_0	16_8_Lung_1_10	recombination_parent_3
16_8_Lung_0_0	16_8_Lung_1_11	primary_parent
16_8_Lung_0_0	16_8_Lung_1_11	recombination_parent_1
16_8_Lung_0_0	16_8_Lung_1_11	recombination_parent_2
16_8_Lung_0_0	16_8_Lung_1_11	recombination_parent_3
16_8_Lung_1_9	16_8_Blood_1_0	Transmission
16_8_Lung_1_10	16_8_Blood_1_1	Transmission
16_8_Blood_1_0	17_0_Blood_0_0	Transmission
16_8_Blood_1_1	16_8_Blood_2_0	primary_parent
16_8_Blood_1_1	16_8_Blood_2_0	recombination_parent_1
16_8_Blood_1_1	16_8_Blood_2_0	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_0	recombination_parent_3
16_8_Blood_1_1	16_8_Blood_2_1	primary_parent
16_8_Blood_1_1	16_8_Blood_2_1	recombination_parent_1
16_8_Blood_1_1	16_8_Blood_2_1	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_2	primary_parent
16_8_Blood_1_1	16_8_Blood_2_2	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_3	primary_parent
16_8_Blood_1_1	16_8_Blood_2_3	recombination_parent_1
16_8_Blood_1_1	16_8_Blood_2_3	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_4	primary_parent
16_8_Blood_1_1	16_8_Blood_2_4	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_4	recombination_parent_3
16_8_Blood_1_1	16_8_Blood_2_5	primary_parent
16_8_Blood_1_1	16_8_Blood_2_5	recombination_parent_1
16_8_Blood_1_1	16_8_Blood_2_5	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_5	recombination_parent_3
16_8_Blood_1_1	16_8_Blood_2_6	primary_parent
16_8_Blood_1_1	16_8_Blood_2_6	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_7	primary_parent
16_8_Blood_1_1	16_8_Blood_2_7	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_8	primary_parent
16_8_Blood_1_1	16_8_Blood_2_8	recombination_parent_1
16_8_Blood_1_1	16_8_Blood_2_8	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_8	recombination_parent_3
16_8_Blood_1_1	16_8_Blood_2_9	primary_parent
16_8_Blood_1_1	16_8_Blood_2_9	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_9	recombination_parent_3
16_8_Blood_1_1	16_8_Blood_2_10	primary_parent
16_8_Blood_1_1	16_8_Blood_2_10	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_11	primary_parent
16_8_Blood_1_1	16_8_Blood_2_11	recombination_parent_1
16_8_Blood_1_1	16_8_Blood_2_11	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_11	recombination_parent_3
16_8_Blood_1_1	16_8_Blood_2_12	primary_parent
16_8_Blood_1_1	16_8_Blood_2_12	recombination_parent_1
16_8_Blood_1_1	16_8_Blood_2_12	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_13	primary_parent
16_8_Blood_1_1	16_8_Blood_2_13	recombination_parent_1
16_8_Blood_1_1	16_8_Blood_2_13	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_14	primary_parent
16_8_Blood_1_1	16_8_Blood_2_14	recombination_parent_1
16_8_Blood_1_1	16_8_Blood_2_14	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_14	recombination_parent_3
16_8_Blood_1_1	16_8_Blood_2_15	primary_parent
16_8_Blood_1_1	16_8_Blood_2_15	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_16	primary_parent
16_8_Blood_1_1	16_8_Blood_2_16	recombination_parent_1
16_8_Blood_1_1	16_8_Blood_2_16	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_17	primary_parent
16_8_Blood_1_1	16_8_Blood_2_17	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_18	primary_parent
16_8_Blood_1_1	16_8_Blood_2_18	recombination_parent_1
16_8_Blood_1_1	16_8_Blood_2_18	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_19	primary_parent
16_8_Blood_1_1	16_8_Blood_2_19	recombination_parent_1
16_8_Blood_1_1	16_8_Blood_2_19	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_20	primary_parent
16_8_Blood_1_1	16_8_Blood_2_20	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_21	primary_parent
16_8_Blood_1_1	16_8_Blood_2_21	recombination_parent_1
16_8_Blood_1_1	16_8_Blood_2_21	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_22	primary_parent
16_8_Blood_1_1	16_8_Blood_2_22	recombination_parent_1
16_8_Blood_1_1	16_8_Blood_2_22	recombination_parent_2
16_8_Blood_1_1	16_8_Blood_2_22	recombination_parent_3
16_8_Blood_1_1	16_8_Blood_2_23	primary_parent
16_8_Blood_1_1	16_8_Blood_2_23	recombination_parent_2
16_8_Blood_2_4	16_8_Lung_2_0	Transmission
16_8_Blood_2_11	16_8_Lung_2_1	Transmission
16_8_Blood_2_13	16_8_Lung_2_2	Transmission
16_8_Blood_2_15	16_8_Lung_2_3	Transmission
16_8_Lung_2_0	16_8_Blood_2_24	Transmission
16_8_Lung_2_2	16_8_Blood_2_25	Transmission
