Sequence_ID	Host	Tissue
16_9_Blood_0_0	16_9	Blood
16_0_Blood_1_2	16_0	Blood
16_9_Blood_1_0	16_9	Blood
16_9_Blood_1_1	16_9	Blood
16_9_Blood_1_2	16_9	Blood
16_9_Blood_1_3	16_9	Blood
16_9_Blood_1_4	16_9	Blood
16_9_Blood_1_5	16_9	Blood
16_9_Blood_1_6	16_9	Blood
16_9_Blood_1_7	16_9	Blood
16_9_Blood_1_8	16_9	Blood
16_9_Blood_1_9	16_9	Blood
16_9_Blood_1_10	16_9	Blood
16_9_Blood_1_11	16_9	Blood
16_9_Blood_1_12	16_9	Blood
16_9_Blood_1_13	16_9	Blood
16_9_Blood_1_14	16_9	Blood
16_9_Blood_2_0	16_9	Blood
16_9_Blood_2_1	16_9	Blood
16_9_Blood_2_2	16_9	Blood
16_9_Blood_2_3	16_9	Blood
16_9_Blood_2_4	16_9	Blood
16_9_Blood_2_5	16_9	Blood
16_9_Blood_2_6	16_9	Blood
16_9_Blood_2_7	16_9	Blood
16_9_Blood_2_8	16_9	Blood
16_9_Blood_2_9	16_9	Blood
16_9_Blood_2_10	16_9	Blood
16_9_Blood_2_11	16_9	Blood
16_9_Blood_2_12	16_9	Blood
16_9_Blood_2_13	16_9	Blood
16_9_Blood_2_14	16_9	Blood
16_9_Blood_2_15	16_9	Blood
16_9_Blood_2_16	16_9	Blood
16_9_Blood_2_17	16_9	Blood
16_9_Blood_2_18	16_9	Blood
16_9_Blood_2_19	16_9	Blood
16_9_Blood_2_20	16_9	Blood
16_9_Blood_2_21	16_9	Blood
16_9_Blood_2_22	16_9	Blood
16_9_Blood_2_23	16_9	Blood
16_9_Blood_2_24	16_9	Blood
16_9_Blood_2_25	16_9	Blood
16_9_Blood_2_26	16_9	Blood
16_9_Blood_2_27	16_9	Blood
16_9_Blood_2_28	16_9	Blood
16_9_Blood_2_29	16_9	Blood
16_9_Blood_2_30	16_9	Blood
16_9_Blood_2_31	16_9	Blood
16_9_Blood_2_32	16_9	Blood
16_9_Blood_2_33	16_9	Blood
16_9_Blood_2_34	16_9	Blood
16_9_Blood_2_35	16_9	Blood
16_9_Blood_2_36	16_9	Blood
16_9_Blood_2_37	16_9	Blood
16_9_Blood_2_38	16_9	Blood
16_9_Blood_2_39	16_9	Blood
16_9_Blood_2_40	16_9	Blood
16_9_Blood_2_41	16_9	Blood
16_9_Blood_2_42	16_9	Blood
16_9_Blood_2_43	16_9	Blood
16_9_Blood_2_44	16_9	Blood
16_9_Blood_2_45	16_9	Blood
16_9_Blood_2_46	16_9	Blood
16_9_Blood_2_47	16_9	Blood
16_9_Blood_2_48	16_9	Blood
16_9_Blood_2_49	16_9	Blood
16_9_Blood_2_50	16_9	Blood
16_9_Blood_2_51	16_9	Blood
16_9_Blood_2_52	16_9	Blood
16_9_Blood_2_53	16_9	Blood
16_9_Blood_2_54	16_9	Blood
16_9_Blood_2_55	16_9	Blood
16_9_Blood_2_56	16_9	Blood
16_9_Blood_2_57	16_9	Blood
16_9_Blood_2_58	16_9	Blood
16_9_Blood_2_59	16_9	Blood
16_9_Blood_2_60	16_9	Blood
16_9_Blood_2_61	16_9	Blood
16_9_Blood_2_62	16_9	Blood
16_9_Blood_2_63	16_9	Blood
16_9_Blood_2_64	16_9	Blood
16_9_Blood_2_65	16_9	Blood
16_9_Blood_2_66	16_9	Blood
16_9_Blood_2_67	16_9	Blood
16_9_Blood_2_68	16_9	Blood
16_9_Blood_2_69	16_9	Blood
16_9_Blood_2_70	16_9	Blood
16_9_Blood_2_71	16_9	Blood
16_9_Blood_2_72	16_9	Blood
16_9_Blood_2_73	16_9	Blood
16_9_Blood_2_74	16_9	Blood
16_9_Blood_2_75	16_9	Blood
16_9_Blood_2_76	16_9	Blood
16_9_Blood_2_77	16_9	Blood
16_9_Blood_2_78	16_9	Blood
16_9_Blood_2_79	16_9	Blood
16_9_Blood_2_80	16_9	Blood
16_9_Blood_2_81	16_9	Blood
16_9_Blood_2_82	16_9	Blood
16_9_Blood_2_83	16_9	Blood
16_9_Blood_2_84	16_9	Blood
16_9_Blood_2_85	16_9	Blood
16_9_Blood_2_86	16_9	Blood
16_9_Blood_2_87	16_9	Blood
16_9_Blood_2_88	16_9	Blood
16_9_Blood_2_89	16_9	Blood
16_9_Blood_2_90	16_9	Blood
16_9_Blood_2_91	16_9	Blood
16_9_Blood_2_92	16_9	Blood
16_9_Blood_2_93	16_9	Blood
16_9_Blood_2_94	16_9	Blood
16_9_Blood_2_95	16_9	Blood
16_9_Blood_2_96	16_9	Blood
16_9_Blood_2_97	16_9	Blood
16_9_Blood_2_98	16_9	Blood
16_9_Blood_2_99	16_9	Blood
16_9_Blood_2_100	16_9	Blood
16_9_Blood_2_101	16_9	Blood
16_9_Blood_2_102	16_9	Blood
16_9_Blood_2_103	16_9	Blood
16_9_Blood_2_104	16_9	Blood
16_9_Blood_2_105	16_9	Blood
16_9_Blood_2_106	16_9	Blood
16_9_Blood_2_107	16_9	Blood
16_9_Blood_2_108	16_9	Blood
16_9_Blood_2_109	16_9	Blood
16_9_Blood_2_110	16_9	Blood
16_9_Lung_2_0	16_9	Lung
16_9_Lung_2_1	16_9	Lung
16_9_Lung_2_2	16_9	Lung
16_9_Lung_2_3	16_9	Lung
16_9_Lung_2_4	16_9	Lung
16_9_Blood_2_111	16_9	Blood
16_9_Blood_2_112	16_9	Blood
16_9_Blood_2_113	16_9	Blood
16_9_Blood_2_114	16_9	Blood
