Sequence_ID	Parent_Cell_ID
16_12_Lung_0_0	16_12_Lung_0_0
16_12_Blood_1_0	16_12_Blood_1_0
16_12_Lung_1_33	16_12_Lung_1_0
16_12_Lung_1_17	16_12_Lung_1_0
16_12_Lung_1_6	16_12_Lung_1_0
16_12_Lung_1_37	16_12_Lung_1_0
16_12_Lung_1_19	16_12_Lung_1_0
16_12_Lung_1_24	16_12_Lung_1_1
16_12_Lung_1_31	16_12_Lung_1_1
16_12_Lung_1_7	16_12_Lung_1_1
16_12_Lung_1_22	16_12_Lung_1_1
16_12_Lung_1_13	16_12_Lung_1_1
16_12_Lung_1_11	16_12_Lung_1_1
16_12_Lung_1_26	16_12_Lung_1_2
16_12_Lung_1_16	16_12_Lung_1_2
16_12_Lung_1_23	16_12_Lung_1_2
16_12_Lung_1_27	16_12_Lung_1_2
