Sequence_ID	Host	Tissue
16_5_Lung_0_0	16_5	Lung
16_1_Blood_0_0	16_1	Lung
16_5_Lung_1_0	16_5	Lung
16_5_Lung_1_1	16_5	Lung
16_5_Lung_1_2	16_5	Lung
16_5_Lung_1_3	16_5	Lung
16_5_Lung_1_4	16_5	Lung
16_5_Lung_1_5	16_5	Lung
16_5_Lung_1_6	16_5	Lung
16_5_Lung_1_7	16_5	Lung
16_5_Lung_1_8	16_5	Lung
16_5_Lung_1_9	16_5	Lung
16_5_Lung_1_10	16_5	Lung
16_5_Lung_1_11	16_5	Lung
16_5_Lung_1_12	16_5	Lung
16_5_Lung_1_13	16_5	Lung
16_5_Lung_1_14	16_5	Lung
16_5_Lung_1_15	16_5	Lung
16_5_Lung_1_16	16_5	Lung
16_5_Lung_1_17	16_5	Lung
16_5_Lung_1_18	16_5	Lung
16_5_Lung_1_19	16_5	Lung
16_5_Lung_1_20	16_5	Lung
16_5_Lung_1_21	16_5	Lung
16_5_Lung_1_22	16_5	Lung
16_5_Lung_1_23	16_5	Lung
16_5_Lung_1_24	16_5	Lung
16_5_Lung_1_25	16_5	Lung
16_5_Lung_1_26	16_5	Lung
16_5_Lung_1_27	16_5	Lung
16_5_Lung_1_28	16_5	Lung
16_5_Lung_1_29	16_5	Lung
16_5_Lung_1_30	16_5	Lung
16_5_Lung_1_31	16_5	Lung
16_5_Lung_1_32	16_5	Lung
16_5_Lung_1_33	16_5	Lung
16_5_Lung_1_34	16_5	Lung
16_5_Lung_1_35	16_5	Lung
16_5_Lung_1_36	16_5	Lung
16_5_Lung_1_37	16_5	Lung
16_5_Lung_1_38	16_5	Lung
16_5_Lung_1_39	16_5	Lung
16_5_Lung_1_40	16_5	Lung
16_5_Lung_1_41	16_5	Lung
16_5_Lung_1_42	16_5	Lung
16_5_Lung_1_43	16_5	Lung
16_5_Lung_1_44	16_5	Lung
16_5_Lung_1_45	16_5	Lung
16_5_Lung_1_46	16_5	Lung
16_5_Lung_1_47	16_5	Lung
16_5_Lung_1_48	16_5	Lung
16_5_Lung_1_49	16_5	Lung
16_5_Lung_1_50	16_5	Lung
16_5_Lung_1_51	16_5	Lung
16_5_Lung_1_52	16_5	Lung
16_5_Lung_1_53	16_5	Lung
16_5_Blood_1_0	16_5	Blood
16_5_Blood_1_1	16_5	Blood
16_5_Blood_1_2	16_5	Blood
16_5_Blood_1_3	16_5	Blood
16_5_Blood_1_4	16_5	Blood
16_2_Blood_0_0	16_2	Blood
16_4_Lung_0_0	16_4	Lung
16_5_Blood_2_0	16_5	Blood
16_5_Blood_2_1	16_5	Blood
16_5_Blood_2_2	16_5	Blood
16_5_Blood_2_3	16_5	Blood
16_5_Blood_2_4	16_5	Blood
16_5_Blood_2_5	16_5	Blood
16_5_Blood_2_6	16_5	Blood
16_5_Blood_2_7	16_5	Blood
16_5_Blood_2_8	16_5	Blood
16_5_Blood_2_9	16_5	Blood
16_5_Blood_2_10	16_5	Blood
16_5_Blood_2_11	16_5	Blood
16_5_Blood_2_12	16_5	Blood
16_5_Blood_2_13	16_5	Blood
16_5_Blood_2_14	16_5	Blood
16_5_Blood_2_15	16_5	Blood
16_5_Blood_2_16	16_5	Blood
16_5_Blood_2_17	16_5	Blood
16_5_Blood_2_18	16_5	Blood
16_5_Blood_2_19	16_5	Blood
16_5_Blood_2_20	16_5	Blood
16_5_Blood_2_21	16_5	Blood
16_5_Blood_2_22	16_5	Blood
16_5_Blood_2_23	16_5	Blood
16_5_Blood_2_24	16_5	Blood
16_5_Blood_2_25	16_5	Blood
16_5_Blood_2_26	16_5	Blood
16_5_Blood_2_27	16_5	Blood
16_5_Blood_2_28	16_5	Blood
