Source	Target	Type
16_8_Blood_1_0	17_0_Blood_0_0	Transmission
17_0_Blood_0_0	17_0_Blood_1_0	primary_parent
17_0_Blood_0_0	17_0_Blood_1_0	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_1	primary_parent
17_0_Blood_0_0	17_0_Blood_1_1	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_2	primary_parent
17_0_Blood_0_0	17_0_Blood_1_2	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_3	primary_parent
17_0_Blood_0_0	17_0_Blood_1_3	recombination_parent_1
17_0_Blood_0_0	17_0_Blood_1_3	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_3	recombination_parent_3
17_0_Blood_0_0	17_0_Blood_1_4	primary_parent
17_0_Blood_0_0	17_0_Blood_1_4	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_5	primary_parent
17_0_Blood_0_0	17_0_Blood_1_5	recombination_parent_1
17_0_Blood_0_0	17_0_Blood_1_5	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_6	primary_parent
17_0_Blood_0_0	17_0_Blood_1_6	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_7	primary_parent
17_0_Blood_0_0	17_0_Blood_1_7	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_8	primary_parent
17_0_Blood_0_0	17_0_Blood_1_8	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_8	recombination_parent_3
17_0_Blood_0_0	17_0_Blood_1_9	primary_parent
17_0_Blood_0_0	17_0_Blood_1_9	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_9	recombination_parent_3
17_0_Blood_0_0	17_0_Blood_1_10	primary_parent
17_0_Blood_0_0	17_0_Blood_1_10	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_11	primary_parent
17_0_Blood_0_0	17_0_Blood_1_11	recombination_parent_1
17_0_Blood_0_0	17_0_Blood_1_11	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_12	primary_parent
17_0_Blood_0_0	17_0_Blood_1_12	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_13	primary_parent
17_0_Blood_0_0	17_0_Blood_1_13	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_14	primary_parent
17_0_Blood_0_0	17_0_Blood_1_14	recombination_parent_1
17_0_Blood_0_0	17_0_Blood_1_14	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_15	primary_parent
17_0_Blood_0_0	17_0_Blood_1_15	recombination_parent_1
17_0_Blood_0_0	17_0_Blood_1_15	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_16	primary_parent
17_0_Blood_0_0	17_0_Blood_1_16	recombination_parent_1
17_0_Blood_0_0	17_0_Blood_1_16	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_16	recombination_parent_3
17_0_Blood_0_0	17_0_Blood_1_17	primary_parent
17_0_Blood_0_0	17_0_Blood_1_17	recombination_parent_2
17_0_Blood_0_0	17_0_Blood_1_17	recombination_parent_3
17_0_Blood_1_8	17_0_Lung_1_0	Transmission
17_0_Blood_1_15	17_0_Lung_1_1	Transmission
17_0_Lung_1_0	17_0_Blood_1_18	Transmission
17_0_Lung_1_1	17_0_Blood_1_19	Transmission
