Source	Target	Type
16_1_Blood_1_0	16_6_Lung_0_0	Transmission
16_6_Lung_0_0	16_6_Lung_1_0	primary_parent
16_6_Lung_0_0	16_6_Lung_1_0	recombination_parent_1
16_6_Lung_0_0	16_6_Lung_1_0	recombination_parent_2
16_6_Lung_0_0	16_6_Lung_1_1	primary_parent
16_6_Lung_0_0	16_6_Lung_1_1	recombination_parent_1
16_6_Lung_0_0	16_6_Lung_1_1	recombination_parent_2
16_6_Lung_0_0	16_6_Lung_1_2	primary_parent
16_6_Lung_0_0	16_6_Lung_1_2	recombination_parent_1
16_6_Lung_0_0	16_6_Lung_1_2	recombination_parent_2
16_6_Lung_0_0	16_6_Lung_1_3	primary_parent
16_6_Lung_0_0	16_6_Lung_1_3	recombination_parent_1
16_6_Lung_0_0	16_6_Lung_1_4	primary_parent
16_6_Lung_0_0	16_6_Lung_1_4	recombination_parent_1
16_6_Lung_0_0	16_6_Lung_1_5	primary_parent
16_6_Lung_0_0	16_6_Lung_1_5	recombination_parent_1
16_6_Lung_0_0	16_6_Lung_1_5	recombination_parent_2
16_6_Lung_1_0	16_6_Blood_1_0	Transmission
16_6_Lung_1_2	16_6_Blood_1_1	Transmission
16_6_Lung_1_3	16_6_Blood_1_2	Transmission
16_6_Blood_1_1	16_3_Blood_0_0	Transmission
16_6_Blood_1_2	16_3_Blood_0_1	Transmission
16_6_Blood_1_0	16_6_Blood_2_0	primary_parent
16_6_Blood_1_0	16_6_Blood_2_0	recombination_parent_1
16_6_Blood_1_0	16_6_Blood_2_0	recombination_parent_2
16_6_Blood_1_0	16_6_Blood_2_1	primary_parent
16_6_Blood_1_0	16_6_Blood_2_1	recombination_parent_1
16_6_Blood_1_0	16_6_Blood_2_1	recombination_parent_2
16_6_Blood_1_0	16_6_Blood_2_2	primary_parent
16_6_Blood_1_0	16_6_Blood_2_2	recombination_parent_1
16_6_Lung_1_1	16_6_Lung_2_0	primary_parent
16_6_Lung_1_1	16_6_Lung_2_0	recombination_parent_1
16_6_Lung_1_1	16_6_Lung_2_0	recombination_parent_2
16_6_Lung_1_1	16_6_Lung_2_0	recombination_parent_3
16_6_Lung_1_1	16_6_Lung_2_1	primary_parent
16_6_Lung_1_1	16_6_Lung_2_1	recombination_parent_1
16_6_Lung_1_1	16_6_Lung_2_1	recombination_parent_2
16_6_Lung_1_1	16_6_Lung_2_2	primary_parent
16_6_Lung_1_1	16_6_Lung_2_2	recombination_parent_1
16_6_Lung_1_1	16_6_Lung_2_2	recombination_parent_2
16_6_Lung_1_1	16_6_Lung_2_3	primary_parent
16_6_Lung_1_1	16_6_Lung_2_3	recombination_parent_1
16_6_Lung_1_1	16_6_Lung_2_3	recombination_parent_2
16_6_Lung_1_1	16_6_Lung_2_4	primary_parent
16_6_Lung_1_1	16_6_Lung_2_4	recombination_parent_1
16_6_Lung_1_1	16_6_Lung_2_4	recombination_parent_2
16_6_Lung_1_1	16_6_Lung_2_5	primary_parent
16_6_Lung_1_1	16_6_Lung_2_5	recombination_parent_1
16_6_Lung_1_1	16_6_Lung_2_6	primary_parent
16_6_Lung_1_1	16_6_Lung_2_6	recombination_parent_1
